fold_id,model,rmse,mae,r2
37,forward_master,0.39712251464415865,0.25041557246208174,0.015871777510095275
37,forward_independent,0.45857824660565194,0.42519690073587235,0.5644557285823762
37,forward_collaborative_actual,0.42799922591874706,0.37405163833490485,0.6206051999376039
37,forward_collaborative_deploy,0.45938878821788254,0.4232092019238608,0.5629147102383125
38,forward_master,0.49287504125798226,0.35623407699995757,-0.2687592383127735
38,forward_independent,0.5290721125813417,0.4752618175121342,0.3744173823275727
38,forward_collaborative_actual,0.4951217504068931,0.3928393802382648,0.45212820612866933
38,forward_collaborative_deploy,0.6011861842207805,0.5410157648753402,0.19225753534390133
39,forward_master,0.28790525484029234,0.20779831932309462,-0.37339220292814135
39,forward_independent,0.6002823984264578,0.5131655858362113,0.3610964234242501
39,forward_collaborative_actual,0.5248515273129503,0.43331151626010483,0.511575959742528
39,forward_collaborative_deploy,0.5704690828079444,0.4854858590992909,0.4229833755782517
40,forward_master,0.34746829331394796,0.23072848727322523,0.22935607537122693
40,forward_independent,0.44028008924529083,0.4086374420718817,0.46972066478037355
40,forward_collaborative_actual,0.4113552147049013,0.36585207545695814,0.5371069866309305
40,forward_collaborative_deploy,0.462235780223513,0.4205875072427434,0.4155145140822012
41,forward_master,0.3249101460202529,0.21062952770370397,-0.10271201598274837
41,forward_independent,0.4674066974294508,0.4265485292034302,0.5607767175928202
41,forward_collaborative_actual,0.42914971097723476,0.39170160365988854,0.6297345921987401
41,forward_collaborative_deploy,0.47660941158534015,0.43955426748368126,0.5433108232333326
42,forward_master,0.36822337120725035,0.24978503431375632,-0.20648612509450448
42,forward_independent,0.5835934312401502,0.4989812970497564,0.08062184674108863
42,forward_collaborative_actual,0.5461924224576689,0.44332862397219364,0.19468696062213553
42,forward_collaborative_deploy,0.5803738302573339,0.5012342753893397,0.09073801877383847
43,forward_master,0.4115059526305919,0.2583189313956013,0.1524322904299742
43,forward_independent,0.4776507135873433,0.4395187683089449,0.4435219638906883
43,forward_collaborative_actual,0.42972511803585056,0.35874692330498403,0.549589356179798
43,forward_collaborative_deploy,0.49546787302651013,0.4507034211835268,0.40123257592243955
44,forward_master,0.42671475180961055,0.3117266946423128,0.24575799260831033
44,forward_independent,0.46590302926671184,0.43057074634547093,0.3183004150150902
44,forward_collaborative_actual,0.43126080000327777,0.33858618054704037,0.415907096757164
44,forward_collaborative_deploy,0.48675494180399986,0.4423574860032992,0.2559147424537216
45,forward_master,0.3293364909402587,0.2411406869756441,0.1584804151865622
45,forward_independent,0.5939819979640846,0.5387788299009909,0.284835242083637
45,forward_collaborative_actual,0.5370264603197051,0.4755330471846915,0.4154106369928813
45,forward_collaborative_deploy,0.6048877144292145,0.5462258708985004,0.2583328099985155
46,forward_master,0.4979293621046194,0.3578167037580642,-0.2033547338874877
46,forward_independent,0.4113302853770401,0.3758854584182558,0.5955370842654446
46,forward_collaborative_actual,0.3535246314927771,0.3090221932657865,0.7012302036460405
46,forward_collaborative_deploy,0.4500043212213519,0.407646778711253,0.5159048819843484
