method,lambda1,lambda2,lambda3,rmse_dflow,mae_dflow,r2_dflow,rmse_dgap,mae_dgap,r2_dgap,joint_rmse_mean,joint_mae_mean,joint_r2_mean,collaboration_rmse,accuracy_dflow,accuracy_dgap,joint_pair_accuracy
full_joint_recommendation,2.0,4.0,4.0,0.5100613704506707,0.2601626016260163,-0.6692111959287534,0.5020284058947294,0.25203252032520324,0.42557999397408863,0.5060448881727,0.25609756097560976,-0.1218156009773324,0.5184905845966429,0.7398373983739838,0.7479674796747967,0.6991869918699187
full_joint_recommendation,1.0,0.5,4.0,0.2208630521496931,0.04878048780487805,0.6870229007633588,0.8115026712006891,0.6422764227642277,-0.5009038867128652,0.5161828616751911,0.3455284552845529,0.09305950702524679,0.4144026238816199,0.9512195121951219,0.36585365853658536,0.35772357723577236
full_joint_recommendation,0.5,2.0,1.0,0.5912643198561531,0.34959349593495936,-1.2430025445292623,0.4685212856658182,0.21951219512195122,0.49969870442904485,0.5298928027609857,0.2845528455284553,-0.3716519200501087,0.5010304236920506,0.6504065040650406,0.7804878048780488,0.6504065040650406
full_joint_recommendation,1.0,4.0,2.0,0.5912643198561531,0.34959349593495936,-1.2430025445292623,0.4685212856658182,0.21951219512195122,0.49969870442904485,0.5298928027609857,0.2845528455284553,-0.3716519200501087,0.5010304236920506,0.6504065040650406,0.7804878048780488,0.6504065040650406
full_joint_recommendation,0.5,0.5,2.0,0.4324255657551935,0.18699186991869918,-0.19974554707379144,0.6807456457050177,0.4634146341463415,-0.05619162398312749,0.5565856057301056,0.3252032520325203,-0.12796858552845947,0.4383279951548437,0.8130081300813008,0.5365853658536586,0.5284552845528455
full_joint_recommendation,1.0,1.0,4.0,0.4324255657551935,0.18699186991869918,-0.19974554707379144,0.6807456457050177,0.4634146341463415,-0.05619162398312749,0.5565856057301056,0.3252032520325203,-0.12796858552845947,0.4383279951548437,0.8130081300813008,0.5365853658536586,0.5284552845528455
full_joint_recommendation,2.0,0.5,4.0,0.12751534261266767,0.016260162601626018,0.8956743002544529,0.9877295966495896,0.7642276422764228,-1.2235613136486894,0.5576224696311286,0.3902439024390244,-0.1639435066971182,0.3401808107473688,0.983739837398374,0.34146341463414637,0.34146341463414637
full_joint_recommendation,0.5,1.0,2.0,0.5912643198561531,0.34959349593495936,-1.2430025445292623,0.5334349496690812,0.2845528455284553,0.3514612835191323,0.5623496347626171,0.3170731707317073,-0.445770630505065,0.45085200860679664,0.6504065040650406,0.7154471544715447,0.6016260162601627
full_joint_recommendation,1.0,2.0,4.0,0.5912643198561531,0.34959349593495936,-1.2430025445292623,0.5334349496690812,0.2845528455284553,0.3514612835191323,0.5623496347626171,0.3170731707317073,-0.445770630505065,0.45085200860679664,0.6504065040650406,0.7154471544715447,0.6016260162601627
full_joint_recommendation,0.5,4.0,2.0,0.7703868735637631,0.5934959349593496,-2.8078880407124687,0.3606678538669729,0.13008130081300814,0.7035251581801747,0.565527363715368,0.3617886178861789,-1.052181441266147,0.4974073142471777,0.4065040650406504,0.8699186991869918,0.4065040650406504
